"CHAA (103,3M) LONGUEUIL ",musique@fm1033.ca,fm1033.ca
"CKCN FM94,1 (94,1) SEPT-ILES ",directionmusicale@purfm.com,purfm.com
"CJLM (M103,5A) JOLIETTE",directionmusicalem1035@hotmail.com,hotmail.com
"CKVM (93,1) VILLE-MARIE",mariepier@ckvmfm.com,ckvmfm.com
"CKGN (89,7Top40) KAPUSKASING",musiqueckgn@hotmail.com,hotmail.com
"CINN (91,1M) HEARST ONT ",musique@cinnfm.com ,cinnfm.com 
"CIHO (96,3M) CHARLEVOIX ",musique@cihofm.com ,cihofm.com 
"CIPC (99,1M) 7ILES-PORT CARTIER ",directionmusicale@laradioactive.com,laradioactive.com
"CILE (95,1) HAVRE ST-PIERRE ",musique@cilefm.com,cilefm.com
"CFID (103,7) ACTON VALE ",programmation@radio-acton.com ,radio-acton.com 
"CHAI (101,9M) CHATEAUGUAY ",chai@videotron.ca ,videotron.ca 
"CJRG (94,3) GASPÉ 30 ans 45ans ",dave.ferguson@radiogaspesie.ca ,radiogaspesie.ca 
"CFRH (88,1)PENETANGUISHENE",directionmusicale@lacle.ca,lacle.ca
"CFNJ  (99,1)-ST-GABRIEL BRANDON ",nicolas@cfnj.net ,cfnj.net 
CH2O (103'1) MASKINONGÉ/LOUISEVILLE,keven.plamondon@ch2ofm.ca,ch2ofm.ca
CJBE Anticosti FM 90'5,radioanticosti@gmail.com,gmail.com
"CKUM (93,5M) MONCTON",dirm_ckum@live.com,live.com
"CFLO (104,7A) MONT LAURIER ",dm@cflo.ca ,cflo.ca 
CIMS (103'9-96'7) BALMORAL N.B.,programmation@cimsfm.ca,cimsfm.ca
"CHOC (104,9) ST-RÉMI ",studio@chocfm.com  ,chocfm.com  
"CFVD (95,5M) FiLLE DÉGELIS",discotheque@fm95.ca ,fm95.ca 
"CFMF (103,1M) FERMONT",cfmfmusique@live.ca,live.ca
"(0.97,3) VICTO (97'3)",dkegle@o973.com,o973.com
"CKLD.CFDA (105,5) VICTO/THETFORD",dkegle@o973.com,o973.com
CKYQ (95'7) Plessisville Attraction,musique@kyqfm.com,kyqfm.com
